op,arg1,arg2,arg3,arg4
# =============================================================================
# Scenario summary (see sim/testcases_instruction.txt)
#
# Ring start in system memory: 0x00000000 (csr_baseaddr below)
# Ring length: 4 descriptor slots
# Number of descriptors: 1
#
# Descriptor 0: move 4 beats from SRAM (0x00000100) to system memory (0x00000100)
#   desc,SRC,DST,LEN,FLAGS = desc,00000100,00000100,00000004,00000000
#   (DIR=0; source pattern preloaded in sram,* rows — words 64..67)
# =============================================================================

# --- Source data in SRAM ---
sram,64,aabbccdd,,
sram,65,11223344,,
sram,66,deadbeef,,
sram,67,cafecafe,,

# --- Configure ring ---
csr_baseaddr,00000000,,
csr_ringlen,4,,

desc,00000100,00000100,00000004,00000000

enable,,,,
